num_fc_layers,episode,average_reward,std_reward,cumulative_steps
1,0,19.6,15.344054223053305,11
1,1,27.6,10.762899237658969,38
1,2,23.8,10.703270528207721,68
1,3,31.6,15.447977213862014,84
1,4,30.6,18.810635289643994,110
1,5,17.8,5.775811631277461,127
1,6,35.8,13.526270735128733,180
1,7,20.2,6.013318551349164,197
1,8,25.6,11.689311356961968,208
1,9,23.2,8.975522268926749,218
1,10,18.0,7.402702209328699,240
1,11,21.8,7.934733769950949,265
1,12,20.6,9.604165762834375,291
1,13,28.6,13.778243719719867,312
1,14,21.6,4.673328578219169,338
1,15,34.2,21.88515478583599,356
1,16,32.2,19.610201426808448,389
1,17,21.8,10.322790320451151,429
1,18,19.2,4.707440918375928,455
1,19,22.8,7.110555533852471,479
2,0,19.6,9.178235124467012,9
2,1,31.4,22.764885240211512,27
2,2,19.0,9.273618495495704,39
2,3,24.0,9.757048734120374,54
2,4,23.4,8.616263691415208,86
2,5,27.2,10.943491216243562,112
2,6,26.4,11.42978564978364,126
2,7,23.6,10.209799214480176,142
2,8,34.6,23.888072337465825,158
2,9,23.8,14.133647795243801,209
2,10,25.2,10.166612021711067,221
2,11,20.2,6.43117407632541,251
2,12,25.0,15.824032355881986,261
2,13,33.4,15.781001235663092,287
2,14,28.6,13.484806264830059,306
2,15,43.6,23.44866733953126,335
2,16,35.0,15.192103211866355,364
2,17,29.4,14.164744967700619,388
2,18,31.6,20.751867385852293,404
2,19,22.6,7.310266752998827,426
3,0,21.2,13.16662447250623,12
3,1,33.2,16.939893742287758,45
3,2,23.8,15.892136420255145,59
3,3,29.8,14.005713120009277,82
3,4,14.0,1.8973665961010275,97
3,5,25.0,8.966604708583958,120
3,6,17.0,8.17312669668102,134
3,7,27.2,9.846826900072937,159
3,8,19.6,8.616263691415206,179
3,9,25.8,16.436544649043487,203
3,10,22.2,8.795453370918409,216
3,11,23.6,10.594338110519223,240
3,12,25.4,12.289833196589774,254
3,13,20.8,7.95989949685296,288
3,14,26.8,14.74313399518569,343
3,15,29.8,15.663971399361019,381
3,16,23.8,13.105723940324701,403
3,17,17.0,4.857983120596447,428
3,18,24.0,12.409673645990857,468
3,19,24.0,7.797435475847171,501
